name,country,lat,lon,MTemp,humidity,cloudinnes,windspeed,date
Durango,MX,24.83,-104.83,289.36,88,100,0.22,1600062879
Sinnamary,GF,5.38,-52.95,299.33,86,7,3.53,1600062939
Fort Nelson,CA,58.81,-122.7,278.15,80,90,1.0,1600062940
Broome,US,42.25,-75.83,289.82,100,90,2.1,1600062941
Talara,PE,-4.58,-81.27,290.64,80,1,6.93,1600062942
Pevek,RU,69.7,170.31,279.66,80,100,4.97,1600062942
Priargunsk,RU,50.37,119.1,290.96,46,30,5.66,1600062943
Sibolga,ID,1.74,98.78,303.19,60,61,2.28,1600062944
Olafsvik,IS,64.89,-23.71,281.39,79,97,2.88,1600062945
Barra Patuca,HN,15.8,-84.28,299.21,87,61,3.45,1600062946
Forbes,AU,-33.38,148.02,291.85,55,4,3.44,1600062946
Coyhaique,CL,-45.58,-72.07,280.15,56,75,2.1,1600062947
Belen,TR,36.49,36.22,300.15,74,40,4.1,1600062948
Tateyama,JP,34.98,139.87,300.93,83,75,5.1,1600062949
Kavaratti,IN,10.57,72.64,302.15,74,40,9.3,1600062949
Half Moon Bay,US,37.46,-122.43,288.71,87,90,1.5,1600062950
Aranda de Duero,ES,41.67,-3.69,289.34,57,27,3.13,1600062951
Norman Wells,CA,65.28,-126.83,275.15,74,20,2.1,1600062952
Suntar,RU,62.14,117.63,288.96,48,0,1.33,1600062953
Inzhavino,RU,52.32,42.49,287.73,77,100,4.82,1600062955
Itarema,BR,-2.92,-39.92,297.28,80,35,6.46,1600062956
Tazovsky,RU,67.47,78.7,284.8,70,93,5.08,1600062957
Salisbury,GB,51.07,-1.8,284.15,100,0,3.1,1600062958
Yining,CN,29.04,114.56,295.32,83,98,0.85,1600062958
Namatanai,PG,-3.67,152.43,301.96,73,67,5.23,1600062959
Amahai,ID,-3.33,128.92,299.75,78,74,6.68,1600062961
Tasiilaq,GL,65.61,-37.64,270.73,97,100,1.33,1600062962
Hamilton,US,39.18,-84.53,292.04,93,1,3.04,1600062766
Paluan,PH,13.42,120.46,303.05,71,78,2.19,1600062963
Sahāwar,IN,27.8,78.85,308.31,48,7,1.74,1600062964
Kysyl-Syr,RU,63.9,122.76,286.44,58,9,4.19,1600062965
Gambēla,ET,8.25,34.58,294.79,94,100,1.49,1600062966
Yur’yevets,RU,57.32,43.1,283.72,86,20,7.87,1600062967
Kaa-Khem,RU,51.68,94.73,286.86,40,79,2.87,1600062968
Quang Ngai,VN,15.12,108.8,307.1,51,79,4.41,1600062969
Monteagudo,BO,-19.82,-63.98,293.48,63,86,3.52,1600062970
Bétaré Oya,CM,5.6,14.08,293.17,97,100,1.74,1600062971
Rafaela,AR,-31.25,-61.49,284.26,30,0,3.13,1600062972
Port Blair,IN,11.67,92.75,303.64,67,96,5.0,1600062973
Qūchān,IR,37.11,58.51,293.65,24,0,4.56,1600062974
Talnakh,RU,69.49,88.4,286.15,87,40,7.0,1600062681
Keningau,MY,5.34,116.16,304.15,74,20,5.1,1600062975
Lamu,KE,-2.27,40.9,299.59,77,40,6.01,1600062977
Portland,US,45.52,-122.68,288.15,82,90,0.76,1600062949
Raudeberg,NO,61.99,5.14,283.71,95,100,2.57,1600062978
Sarangani,PH,5.4,125.46,301.92,76,99,5.87,1600062979
Narsaq,GL,60.92,-46.05,273.15,76,14,1.5,1600062980
Grand-Santi,GF,4.25,-54.38,295.85,97,43,0.97,1600062981
Ascension,US,30.22,-90.9,300.15,83,1,2.1,1600062982
Careiro da Várzea,BR,-3.2,-59.81,299.15,83,2,1.0,1600062983
Summerside,CA,46.4,-63.79,291.48,91,98,1.34,1600062963
Charters Towers,AU,-20.1,146.27,300.62,32,26,5.64,1600062984
Ostrovnoy,RU,68.05,39.51,282.76,88,97,2.12,1600062985
Tigil',RU,57.8,158.67,280.9,81,100,6.24,1600062986
Enshi,CN,30.3,109.48,292.6,83,100,0.2,1600062987
Nikolayevka,RU,53.13,47.2,284.52,86,100,5.14,1600062988
Buchanan,LR,5.88,-10.05,297.51,90,97,2.15,1600062989
Culebra,PR,18.3,-65.3,301.15,78,20,2.1,1600062990
São Filipe,CV,14.9,-24.5,298.92,81,98,2.78,1600062991
Mbaïki,CF,3.87,17.99,294.11,98,100,1.25,1600062991
Port Hardy,CA,50.7,-127.42,286.15,100,90,1.0,1600062992
Belmonte,BR,-15.86,-38.88,296.15,64,75,5.1,1600062994
Pouembout,NC,-21.13,164.9,296.99,67,38,2.99,1600062995
Yumen,CN,40.28,97.2,292.72,22,45,2.27,1600062995
Cartagena,CO,10.4,-75.51,300.36,86,65,3.2,1600062768
Emba,KZ,48.83,58.14,292.99,34,57,2.53,1600062997
Provideniya,RU,64.38,-173.3,282.15,93,90,5.0,1600062997
Meulaboh,ID,4.14,96.13,302.97,63,91,2.31,1600062998
Tanabe,JP,33.73,135.37,300.15,65,75,5.7,1600062999
Esperance,AU,-33.87,121.9,294.15,46,60,4.6,1600062999
Inuvik,CA,68.35,-133.72,276.15,81,75,2.74,1600063000
Touros,BR,-5.2,-35.46,294.15,94,40,1.5,1600063001
Lata,PT,40.16,-8.33,292.04,87,82,0.67,1600063001
Kampong Thom,KH,12.71,104.89,306.1,62,97,0.3,1600063002
Muborak,UZ,39.26,65.15,301.19,16,0,4.26,1600063003
Muyinga Province,BI,-2.83,30.33,293.88,48,78,2.25,1600063003
Nurota,UZ,40.56,65.69,299.15,21,0,2.1,1600063004
Weyburn,CA,49.67,-103.85,285.09,42,74,6.03,1600063005
Luanda,AO,-8.84,13.23,295.15,88,75,2.1,1600063001
Misratah,LY,32.38,15.09,299.77,74,31,6.29,1600063006
